date,cat,count,text
2015-01-06,economic,681599.64,Some text
2015-01-12,economic,2065424.36,Some text
2015-01-13,economic,689882.39,Some text
2015-01-23,economic,689835.22,Some text
2015-01-27,economic,689788.06,Some text
2015-01-28,economic,689740.9,Some text
2015-01-29,economic,2792124.25,Some text
2015-01-31,economic,723135.05,Some text
2015-02-03,economic,723085.59,Some text
2015-02-04,economic,1446022.8,Some text
2015-02-05,economic,1445824.95,Some text
2015-02-06,economic,741155.29,Some text
2015-02-09,economic,2232639.91,Some text
2015-02-16,economic,2251136.26,Some text
2015-02-18,economic,2250673.99,Some text
2015-02-19,economic,750121.93,Some text
2015-02-24,economic,750070.57,Some text
2015-02-27,economic,750019.21,Some text
2015-03-02,economic,749967.84,Some text
2015-03-03,economic,749916.48,Some text
2015-03-05,economic,752238.93,Some text
2015-03-09,economic,1504323.29,Some text
2015-03-10,economic,1504117.18,Some text
2015-03-11,economic,1521040.05,Some text
2015-03-12,economic,1537959.4,Some text
2015-03-13,economic,869867.12,Some text
2015-03-16,economic,892472.83,Some text
2015-03-17,economic,922377.35,Some text
2015-03-18,economic,922314.12,Some text
2015-03-19,economic,922250.89,Some text
2015-03-20,economic,922187.66,Some text
2015-03-23,economic,939415.76,Some text
2015-03-25,economic,1007127.17,Some text
2015-03-26,economic,2049071.74,Some text
2015-03-27,economic,2109027.84,Some text
2015-04-02,economic,1070577.46,Some text
2015-04-06,economic,1070504.02,Some text
2015-04-07,economic,1101460.16,Some text
2015-04-15,economic,1101384.59,Some text
2015-04-16,economic,1101309.03,Some text
2015-04-17,economic,1101233.46,Some text
2015-04-22,economic,4404178.16,Some text
2015-04-27,economic,2201635.68,Some text
2015-04-28,economic,1131681.91,Some text
2015-04-30,economic,2263130.75,Some text
2015-05-01,economic,1153809.35,Some text
2015-05-04,economic,1153730.12,Some text
2015-05-05,economic,1153650.89,Some text
2015-05-06,economic,2307064.1,Some text
2015-05-07,economic,5769202.5,Some text
2015-05-08,economic,2307907.06,Some text
2015-05-13,economic,1153834.59,Some text
2015-05-19,economic,2320872.72,Some text
2015-05-20,economic,1167037.21,Some text
2015-05-21,economic,2333833.76,Some text
2015-05-22,economic,2333512.88,Some text
2015-05-26,economic,1166636.11,Some text
2015-05-27,economic,1166555.89,Some text
2015-05-28,economic,1166475.67,Some text
2015-05-29,economic,1166395.45,Some text
2015-06-03,economic,2332550.24,Some text
2015-06-04,economic,2332229.36,Some text
2015-06-05,economic,2352045.36,Some text
2015-06-10,economic,2391351.35,Some text
2015-06-11,economic,1224226.85,Some text
2015-06-12,economic,2451780.39,Some text
2015-06-16,economic,12271730.71,Some text
2015-06-17,economic,1235068.98,Some text
2015-06-18,economic,1234983.91,Some text
2015-06-19,economic,1243995.93,Some text
2015-06-22,economic,1243910.23,Some text
2015-06-23,economic,1243824.53,Some text
2015-06-24,economic,2516519.2,Some text
2015-06-25,economic,1272692.66,Some text
2015-06-26,economic,1272604.96,Some text
2015-06-28,economic,1272517.25,Some text
2015-06-29,economic,3825870.64,Some text
2015-06-30,economic,5135304.53,Some text
2015-07-01,economic,2573016.07,Some text
2015-07-02,economic,2572661.19,Some text
2015-07-03,economic,1286197.51,Some text
2015-07-06,economic,2602070.02,Some text
2015-07-07,economic,2601711,Some text
2015-07-10,economic,1300720.87,Some text
2015-07-13,economic,3950290.54,Some text
2015-07-14,economic,1324692.56,Some text
2015-07-15,economic,1324601.13,Some text
2015-07-17,economic,1324509.7,Some text
2015-07-20,economic,2648745.09,Some text
2015-07-21,economic,1324235.39,Some text
2015-07-22,economic,1324143.96,Some text
2015-07-23,economic,1324052.53,Some text
2015-07-25,economic,1333771.39,Some text
2015-07-27,economic,1338584.09,Some text
2015-07-28,economic,1338491.64,Some text
2015-08-03,economic,4014920.22,Some text
2015-08-05,economic,1338121.84,Some text
2015-08-06,economic,4013810.82,Some text
2015-08-10,economic,2675411.63,Some text
2015-08-11,economic,1337567.14,Some text
2015-08-12,economic,1337474.69,Some text
2015-08-14,economic,1362080.29,Some text
2015-08-18,economic,2754094.4,Some text
2015-08-20,economic,1378892.5,Some text
2015-08-24,economic,4137868.89,Some text
2015-08-25,economic,1381229.56,Some text
2015-08-26,economic,2762172.53,Some text
2015-08-27,economic,1380942.97,Some text
2015-08-28,economic,2761599.37,Some text
2015-08-29,economic,1380656.39,Some text
2015-08-31,economic,1380560.87,Some text
2015-09-01,economic,2774493.61,Some text
2015-09-03,economic,2774109.61,Some text
2015-09-04,economic,2796481.79,Some text
2015-09-07,economic,4193996.77,Some text
2015-09-08,economic,2795513.91,Some text
2015-09-10,economic,2854483.93,Some text
2015-09-14,economic,1431825.83,Some text
2015-09-15,economic,2876555.59,Some text
2015-09-16,economic,4333886.27,Some text
2015-09-18,economic,1444428.59,Some text
2015-09-22,economic,2888556.92,Some text
2015-09-24,economic,1448864.68,Some text
2015-09-25,economic,1448764.27,Some text
2015-09-28,economic,5794052.94,Some text
2015-09-30,economic,1448262.2,Some text
2015-10-01,economic,1448161.79,Some text
2015-10-02,economic,1466014.35,Some text
2015-10-06,economic,4397433.09,Some text
2015-10-07,economic,1480148.08,Some text
2015-10-08,economic,2959988.16,Some text
2015-10-10,economic,1479840.08,Some text
2015-10-12,economic,6251002.79,Some text
2015-10-13,economic,4689456.42,Some text
2015-10-14,economic,3125761.82,Some text
2015-10-16,economic,1562718.17,Some text
2015-10-20,economic,3169313.66,Some text
2015-10-21,economic,3168873.56,Some text
2015-10-22,economic,1616247.57,Some text
2015-10-23,economic,3310193.62,Some text
2015-10-26,economic,1654924.38,Some text
2015-10-27,economic,1654809.42,Some text
2015-10-30,economic,3309273.97,Some text
2015-11-01,economic,1654464.55,Some text
2015-11-02,economic,3357332.53,Some text
2015-11-03,economic,1678491.29,Some text
2015-11-04,economic,3374123.93,Some text
2015-11-05,economic,1715904.1,Some text
2015-11-06,economic,5246800.63,Some text
2015-11-09,economic,3570539.79,Some text
2015-11-10,economic,1817475.45,Some text
2015-11-11,economic,5451668.01,Some text
2015-11-12,economic,1816969.89,Some text
2015-11-16,economic,3749355.2,Some text
2015-11-17,economic,1874481.97,Some text
2015-11-18,economic,1874351.56,Some text
2015-11-19,economic,3813907.98,Some text
2015-11-20,economic,1920080.32,Some text
2015-11-25,economic,1930946.58,Some text
2015-11-27,economic,1930812.19,Some text
2015-11-30,economic,1930677.8,Some text
2015-12-01,economic,1930543.41,Some text
2015-12-03,economic,5822936.26,Some text
2015-12-08,economic,1940708.48,Some text
2015-12-11,economic,1940573.34,Some text
2015-12-14,economic,3884298.19,Some text
2015-12-17,economic,1943724.6,Some text
2015-12-18,economic,1943589.21,Some text
2015-12-21,economic,1943453.82,Some text
2015-12-22,economic,3886501.49,Some text
2016-01-03,economic,1952345.84,Some text
2016-01-04,economic,7812883.46,Some text
